제목,개요,효과,썸네일,난이도,자세분류,부위
독수리 자세,"독수리 자세는 산스크리트어로 '가루다아사나'라고 하며, '가루다'는 독수리 머리에 사람 몸을 가진 고대 신화의 새로, 새들의 왕이라는 의미를 가지고 있다. 한 다리로 서서 날개를 접고 있는 독수리를 형상화한 동작으로 몸의 균형 감각을 향상시키며 다리를 슬림하게 만들어준다.","- 골반과 몸의 좌우 균형을 맞춘다. 
	 - 허벅지와 엉덩이 라인을 아름답게 만든다. 
	 - 복부 비만을 예방한다. 
	 - 균형감각, 집중력을 향상시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140733264_7RJU63K24.jpg/YOGA_014_pic_1.jpg?type=w224_1&wm=N,상급,선 자세,전신
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
반박쥐 자세,"반박쥐 자세는 박쥐 자세에서 한 다리를 접고 다른 한 다리는 펴주는 동작으로, 박쥐 자세가 익숙하지 않은 초보자들에게 좋은 동작이다. 골반을 자극하는 동작으로 특히 산모에게 효과적이다.","- 다리선을 예쁘게 만든다.
	 - 골반과 고관절의 운동성을 높인다.
	 - 옆구리 군살을 제거하는 효과가 있다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141022878_MXY5A04O6.jpg/YOGA_056_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,허벅지
,,,,,,
,,,,,,
,,,,,,
앉은 산 자세,"앉은 산 자세는 어깨와 팔, 척추를 스트레칭 해주고 깊은 호흡을 유도해주는 동작이다. 임신 중 골반에 느껴지는 부담을 완화시켜주는 효과가 있다.","- 편안한 호흡을 돕는다. 
	 - 요통과 어깨 결림에 도움이 된다.
	 - 팔뚝과 어깨의 군살을 빼는 데 효과적이다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141037454_T1UTEX9RD.jpg/YOGA_061_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,팔
,,,,,,
산 자세,"임신 중기부터는 배가 점점 불러오면 몸의 무게중심이 바뀌면서 요통과 어깨, 목에 통증이 오게 되는데 산 자세를 통해 완화시킬 수 있다.","- 허벅지, 무릎, 발목을 튼튼하게 한다. 
	 - 복부, 둔부를 강화시킨다.
	 - 요통과 어깨, 목의 통증을 완화시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141033429_8NG9B5AFE.jpg/YOGA_060_pic_1.jpg?type=w224_1&wm=N,초급,선 자세,
,,,,,,
한쪽 다리 틀어 비틀기,한쪽 다리 틀어 비틀기는 이름 그대로 한 다리를 반대쪽 방향으로 틀어 비틀어주는 동작으로 평소에 바르지 못한 습관으로 인해 삐뚤어진 척추를 교정해준다. 또한 옆구리살을 빼주는 효과도 있다.,"- 요통을 예방한다. 
	 - 옆구리의 지방을 제거한다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141141168_OPGTOU09S.jpg/YOGA_089_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,옆구리
,,,,,,
독수리 자세,"독수리 자세는 산스크리트어로 '가루다아사나'라고 하며, '가루다'는 독수리 머리에 사람 몸을 가진 고대 신화의 새로, 새들의 왕이라는 의미를 가지고 있다. 한 다리로 서서 날개를 접고 있는 독수리를 형상화한 동작으로 몸의 균형 감각을 향상시키며 다리를 슬림하게 만들어준다.","- 골반과 몸의 좌우 균형을 맞춘다. 
	 - 허벅지와 엉덩이 라인을 아름답게 만든다. 
	 - 복부 비만을 예방한다. 
	 - 균형감각, 집중력을 향상시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140733264_7RJU63K24.jpg/YOGA_014_pic_1.jpg?type=w224_1&wm=N,상급,선 자세,전신
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
굴렁쇠 자세,굴렁쇠 자세는 몸을 공처럼 동그랗게 말아 앞뒤로 굴렁굴렁 굴러주는 동작으로 바닥에 등과 척추를 마사지해주고 혈액순환에 도움이 된다.,"- 척추를 마사지해준다. 
	 - 혈액순환을 돕는다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141202265_2GQXKFYID.jpg/YOGA_097_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,
,,,,,,
반가부좌,"결가부좌와 함께 좌법의 기본 형태가 되는 것이 반가부좌이다. 결가부좌를 할 수 있다면 좋지만 초심자는 따라 하기 쉽지 않으므로, 우선 반가부좌를 통하여 요가를 익히도록 한다. 중국의 전통에서는 남녀를 구분하여, 남성은 왼발과 왼손, 여성은 오른발과 오른손이 위로 올라가는 좌법을 취해준다.","- 기억력, 집중력이 향상된다. 
	 - 정서 불안에 도움이 된다. 
	 - 고관절, 무릎관절, 발목관절의 유연성을 높여준다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140752081_VQ99A10UL.jpg/YOGA_019_pic_1.jpg?type=w224_1&wm=N,초급,호흡,
,,,,,,
발바닥 두드리기,발바닥 두드리기는 다리에 뭉쳐 있는 피로를 풀어주는 자세이다. 발은 인체의 축소판이자 오장육부의 거울로서 경혈을 자극해주면 혈액순환이 원활해진다.,- 피로 회복에 도움이 된다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141145346_A2PA0K5BF.jpg/YOGA_091_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,발
,,,,,,
앉은 전굴 자세,"앉은 전굴 자세는 산스크리트어로 '서쪽으로의 강하게 뻗은'이란 뜻으로, 몸 뒷부분 전체를 강하게 스트레칭해 주는 동작이다. 고대 동양에서는 몸 뒷부분을 서쪽, 얼굴 아래에서 발가락까지를 동쪽, 정수리를 북쪽, 발꿈치나 발바닥은 남쪽이라 했다.","- 비만을 해소한다. 
	 - 요통에 효과적이다. 
	 - 복부기관을 활성화시켜준다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140914778_7HWJAJNZY.jpg/YOGA_036_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,복부
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
다리 자세,"다리 자세는 뒤집은 활 자세라고도 한다. 목과 어깨로 지탱하여 골반과 다리를 하늘 위로 높게 들어주는 동작이다. 허리와 엉덩이 쪽의 경직을 풀어주며, 특히 여성에게 도움이 된다.","- 목과 어깨의 긴장을 풀어준다. 
	 - 다리의 피로를 풀어준다. 
	 - 가슴, 목, 척추를 이완시킨다. 
	 - 척추의 탄력성과 근력을 강화시킨다. 
	 - 엉덩이를 탄력 있게 만든다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140725828_WUIL1LFBK.jpg/YOGA_013_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,엉덩이
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
반거북이 자세,"반거북이 자세는 온몸을 이완시켜주는 효과가 있다. 상체를 스트레칭해 목과 어깨의 경직을 풀어주고, 복부와 허리를 단단히 하며, 고관절과 견갑골, 발목관절의 유연성을 향상시켜준다.","- 목과 어깨의 유연성을 증가시킨다.
	 - 고관절과 견갑골, 발목 관절의 유연성을 증가시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141115083_7B7J72ZN0.jpg/YOGA_077_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,복부
,,,,,,
한 주먹 감싸고 상체 숙이기,한 주먹 감싸고 상체 숙이기는 직접적인 장 마사지 효과를 볼 수 있는 동작으로 변비를 예방하고 숙변을 제거하는 데 많은 도움이 된다.,"- 노폐물을 제거한다. 
	 - 변비 해소에 도움이 된다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141145874_K0I6X3BE4.jpg/YOGA_092_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,복부
,,,,,,
바람 빼기 변형 자세,"바람 빼기 변형 자세는 바람 빼기 자세와 마찬가지로 몸속의 나쁜 가스를 배출해주는데, 다리를 몸으로 가까이 당기는 자세를 추가하여 좀 더 강한 자극을 주는 것이 특징이다.","- 숙변을 제거한다. 
	 - 요통을 완화시킨다.
	 - 가스를 방출한다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141125186_I7BN3WYV5.jpg/YOGA_084_pic_1.jpg?type=w224_1&wm=N,중급,누운 자세,
,,,,,,
다리 기혈 풀어주기,"다리 기혈 풀어주기는 바람 빼기 자세의 하나로, 고관절의 유연성을 높여주고, 허벅지 근육을 풀어준다. 또한 생식 기능을 강화하며 자궁을 건강하게 하는 효과가 있다.","- 고관절을 유연하게 한다.
	 - 허벅지 근육을 풀어준다. 
	 - 다리와 복부의 혈액순환을 향상시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140720987_6BD6IWO0G.jpg/YOGA_011_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,다리
,,,,,,
박쥐 자세,"박쥐 자세는 다리를 넓게 벌린 동작이 마치 날개를 펴고 날으는 박쥐를 연상케 한다 하여 붙여진 이름이다. 다리 안쪽과 뒤쪽의 근육, 인대를 강화시켜 다리 곡선을 매끈하게 만들어준다.","- 아랫배와 허벅지 군살을 제거한다.
	 - 다리 곡선을 매끈하게 만든다. 
	 - 어깨결림에 도움이 된다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140750859_GSUYH33Y9.jpg/YOGA_018_pic_1.jpg?type=w224_1&wm=N,중급,앉은 자세,허벅지
,,,,,,
엎드린 악어 수정 자세,엎드린 악어 수정 자세는 뱀 자세의 변형 동작으로 골반을 뒤로 넘겨주어 골반 기울기의 불균형을 교정하는 효과가 있다.,"- 옆구리 경락을 자극한다. 
	 - 척추의 좌우 균형을 맞춘다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141132962_5SUALYXQD.jpg/YOGA_087_pic_1.jpg?type=w224_1&wm=N,중급,누운 자세,
,,,,,,
다리 꼬아서 다리 자세,"다리 꼬아서 다리 자세는 다리 자세의 변형으로 일반적인 다리 자세보다 좀 더 강도가 센 동작이다. 질 수축, 요실금 예방 등으로 산후 여성에게 많은 도움이 된다.","- 요실금을 예방한다. 
	 - 힙을 업 시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141154402_L8ZJCH5U4.jpg/YOGA_094_pic_1.jpg?type=w224_1&wm=N,중급,누운 자세,허벅지
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
반거북이 자세,"반거북이 자세는 온몸을 이완시켜주는 효과가 있다. 상체를 스트레칭해 목과 어깨의 경직을 풀어주고, 복부와 허리를 단단히 하며, 고관절과 견갑골, 발목관절의 유연성을 향상시켜준다.","- 목과 어깨의 유연성을 증가시킨다.
	 - 고관절과 견갑골, 발목 관절의 유연성을 증가시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141115083_7B7J72ZN0.jpg/YOGA_077_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,복부
,,,,,,
한 주먹 감싸고 상체 숙이기,한 주먹 감싸고 상체 숙이기는 직접적인 장 마사지 효과를 볼 수 있는 동작으로 변비를 예방하고 숙변을 제거하는 데 많은 도움이 된다.,"- 노폐물을 제거한다. 
	 - 변비 해소에 도움이 된다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141145874_K0I6X3BE4.jpg/YOGA_092_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,복부
,,,,,,
바람 빼기 변형 자세,"바람 빼기 변형 자세는 바람 빼기 자세와 마찬가지로 몸속의 나쁜 가스를 배출해주는데, 다리를 몸으로 가까이 당기는 자세를 추가하여 좀 더 강한 자극을 주는 것이 특징이다.","- 숙변을 제거한다. 
	 - 요통을 완화시킨다.
	 - 가스를 방출한다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141125186_I7BN3WYV5.jpg/YOGA_084_pic_1.jpg?type=w224_1&wm=N,중급,누운 자세,
,,,,,,
다리 기혈 풀어주기,"다리 기혈 풀어주기는 바람 빼기 자세의 하나로, 고관절의 유연성을 높여주고, 허벅지 근육을 풀어준다. 또한 생식 기능을 강화하며 자궁을 건강하게 하는 효과가 있다.","- 고관절을 유연하게 한다.
	 - 허벅지 근육을 풀어준다. 
	 - 다리와 복부의 혈액순환을 향상시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140720987_6BD6IWO0G.jpg/YOGA_011_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,다리
,,,,,,
박쥐 자세,"박쥐 자세는 다리를 넓게 벌린 동작이 마치 날개를 펴고 날으는 박쥐를 연상케 한다 하여 붙여진 이름이다. 다리 안쪽과 뒤쪽의 근육, 인대를 강화시켜 다리 곡선을 매끈하게 만들어준다.","- 아랫배와 허벅지 군살을 제거한다.
	 - 다리 곡선을 매끈하게 만든다. 
	 - 어깨결림에 도움이 된다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140750859_GSUYH33Y9.jpg/YOGA_018_pic_1.jpg?type=w224_1&wm=N,중급,앉은 자세,허벅지
,,,,,,
고치법,고치법은 윗니와 아랫니를 마주쳐 소리가 나게 하는 운동법이다. 회진법과 마찬가지로 생침을 넘겨 몸을 건강하게 만들어주는 효과가 있다.,"- 이와 잇몸의 질병을 예방한다. 
	 - 머리가 맑아지고 피로가 풀린다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141120240_LJ47CYOAG.jpg/YOGA_080_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
기어가는 자세로 팔다리 들기,기어가는 자세로 팔다리 들기는 다리와 팔을 동시에 든 상태에서 몸을 흔들림 없이 잡아주는 동작으로 몸의 불균형을 교정하는 데 도움이 된다.,"- 복근을 만든다.
	 - 몸의 균형을 맞춘다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141156988_BXES8W4IT.jpg/YOGA_095_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
감춘 연꽃 자세,"감춘 연꽃 자세는 완전한 결가부좌로 행해지는 동작으로 우울증, 분노, 증오심 등의 감정을 컨트롤하여 마음의 안정을 찾아준다.",- 마음의 안정을 찾아준다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141129714_2W449GZOR.jpg/YOGA_086_pic_1.jpg?type=w224_1&wm=N,중급,앉은 자세,
,,,,,,
다리 들어올리기,다리 들어올리기는 기어가는 자세에서 다리를 높이 들어올리는 동작으로 뒤태를 아름답게 가꾸는 데 효과적이다. 등과 다리를 자극하여 허벅지 살을 빼주고 탄력 있고 아름다운 엉덩이를 만들어준다.,"- 허벅지 군살을 제거한다. 
	 - 몸 뒤쪽의 군살을 제거한다. 
	 - 엉덩이 라인을 아름답게 만든다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140725441_1P9QYL5DK.jpg/YOGA_012_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,엉덩이
,,,,,,
회진법,회진법은 혀로 입 안 구석구석을 닦고 생침을 목뒤로 넘겨주는 동작이다. 예로부터 생침은 '옥천'이라 하여 건강 유지의 비법 중 하나로 알려져 있다.,"- 소화를 돕는다. 
	 - 피부를 곱게 한다. 
	 - 머리를 맑게 해준다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141115555_B9D7K7KL4.jpg/YOGA_079_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,
,,,,,,
상체 기울이기,상체 기울이기는 일명 '머리 무릎 자세'로 머리를 무릎에 가까이 가져가는 동작으로 옆구리를 충분히 늘여주는 효과가 있다.,"- 등과 복부의 군살을 제거한다. 
	 - 휜 척추를 바로잡아주며 허리근육을 풀어준다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140843356_W0Q4BHLSC.jpg/YOGA_028_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,복부
,,,,,,
정뇌 호흡,"정뇌 호흡은 보통 뇌로 숨 쉬는 호흡법이라 하며, 머리를 맑게 정화하는 효과가 있다.","- 복부를 단단하게 한다. 
	 - 허리를 바로잡아준다. 
	 - 혈액순환을 원활하게 한다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141115398_P46ASKTIU.jpg/YOGA_078_pic_1.jpg?type=w224_1&wm=N,중급,호흡,
,,,,,,
허리 흔들기,"허리 흔들기는 누운 자세에서 허리를 좌우로 빠르게 흔들어 풀어주는 동작으로, 허리에 뭉쳐 있는 피로를 풀어준다.","- 허리의 피로를 풀어준다. 
	 - 허리 통증을 완화시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141205645_98YYV2YCT.jpg/YOGA_098_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,허리
,,,,,,
엎드린 휴식 자세,임신 중에 자궁이 늘어나 출산 후엔 자궁을 원래 크기와 위치로 되돌리는 것이 중요하다. 엎드린 휴식 자세는 출산 후 자궁과 골반이 제자리를 찾도록 도와준다.,"- 자궁이 전굴되도록 하는 효과가 있다.
	 - 체내의 산소를 증가시킨다.
	 - 피로를 풀고 심신의 안정을 찾아준다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141038042_KU6FM37T6.jpg/YOGA_062_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,
,,,,,,
균형 잡기,"균형 잡기 자세는 하복부의 힘을 이용하여 균형을 잡아주는 동작으로, 아랫배 근육을 강화시키고 몸 전체의 균형을 잡아준다.","- 아랫배 군살을 제거한다. 
	 - 복부 수축력이 강화된다. 
	 - 소화력과 배설능력이 좋아진다. 
	 - 척추를 교정하고 요추의 긴장을 완화시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140659676_G3V3S3HSP.jpg/YOGA_004_pic_1.jpg?type=w224_1&wm=N,중급,누운 자세,복부
,,,,,,
T자 자세,T자 자세는 알파벳 T자 모양을 몸으로 형상화한 동작이다. 한 다리로 지탱함으로써 균형 감각을 높이고 근력을 강화시켜준다.,"- 몸의 균형 감각을 높인다.
	 - 근력과 근육을 강화시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141055256_NKB8NPTIM.jpg/YOGA_071_pic_1.jpg?type=w224_1&wm=N,상급,선 자세,
,,,,,,
기도 자세,기도 자세는 기도하듯 답답하거나 스트레스가 쌓일 때 하면 마음을 편안하게 만들어주는 동작이다. 가슴을 모아주고 처진 가슴을 올려주는 효과가 있으며 팔과 어깨의 군살을 빼주는 대표적인 동작이기도 하다.,"- 가슴을 모아주고 업 시킨다. 
	 - 겨드랑이, 팔, 어깨의 군살을 제거한다. 
	 - 견갑골과 그 주변 근육의 통증을 해소한다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140706715_DEI53EBRP.jpg/YOGA_006_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,팔
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
기어가는 자세로 팔다리 들기,기어가는 자세로 팔다리 들기는 다리와 팔을 동시에 든 상태에서 몸을 흔들림 없이 잡아주는 동작으로 몸의 불균형을 교정하는 데 도움이 된다.,"- 복근을 만든다.
	 - 몸의 균형을 맞춘다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141156988_BXES8W4IT.jpg/YOGA_095_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
서서 앞으로 구부리기,"서서 앞으로 구부리기 자세는 요가의 기본 자세인 앉아서 하는 전굴 자세를 서서 한다고 생각하면 쉽게 이해할 수 있을 것이다. 전체적으로 다리근육을 자극해주는 자세이며, 자주 연습하면 고급 요가로 들어가기가 수월해진다.","- 다리 뒤쪽과 등의 군살을 빼주고 탄력을 준다. 
	 - 장을 튼튼하게 한다. 
	 - 스트레스 해소에 효과적이다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140851208_JR0JGKMYE.jpg/YOGA_030_pic_1.jpg?type=w224_1&wm=N,초급,선 자세,다리
,,,,,,
완전 휴식 자세,"완전 휴식 자세는 일명 '송장 자세'로 사바아사나라고 하며, 몸과 마음을 안정시키는 휴식법으로 쉬워 보이면서도 체득하기 가장 어려운 자세이다. 처음에는 잠에 빠지기 쉬우나 점차 고요해지며, 심신에 활력을 주고 생기를 되찾아준다. 이 자세는 다른 아사나의 수행으로 생긴 피로를 풀어주고 마음에 휴식을 준다. 요가의 마무리 자세로 주로 이용된다.","- 피로 회복에 효과가 있다. 
	 - 정신이 맑아진다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140922396_BILP4MPRZ.jpg/YOGA_038_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,
,,,,,,
누워서 복식 호흡,"누워서 복식 호흡은 완전한 휴식 자세로 사바아사나라고도 한다. '사바'는 송장을 뜻하고, '사바아사나'는 마치 죽어 있는 시체처럼 우리 몸의 기관들을 전혀 움직이지 않고 완전한 휴식 상태에 이르게 하는 동작을 말한다. 이 상태에서의 복식 호흡은 흥분을 가라앉히며 심신의 안정을 찾을 수 있게 해준다. 앉아서 하는 복식 호흡에 익숙하지 않을 경우 이 자세를 하면 복식 호흡을 더 잘 느낄 수 있다.","- 온몸에 산소 공급이 활발해진다. 
	 - 혈액순환을 돕는다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141014771_X8WAY8ZLF.jpg/YOGA_054_pic_1.jpg?type=w224_1&wm=N,초급,호흡,
,,,,,,
엎드린 악어 자세,엎드린 악어 자세는 등 뒤의 선을 아름답게 하면서 처진 엉덩이를 올려주는 효과가 있다.,"- 굽은 어깨를 펴는 데 도움이 된다. 
	 - 처진 엉덩이를 올려주는 효과가 있다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141045388_PQ2B0ETN4.jpg/YOGA_068_pic_1.jpg?type=w224_1&wm=N,중급,누운 자세,등
,,,,,,
4단계 이완법,4단계 이완법은 일종의 출산 시뮬레이션 동작이라 할 수 있다. 이완법을 통해 미리 출산을 경험해봄으로써 실제 상황에서 평정심을 갖고 통증을 완화시키며 자연스럽게 출산하기 위한 목적이 있다.,"- 출산의 고통을 완화시킨다. 
	 - 후굴된 자궁의 위치를 바로잡는다. 
	 - 허리 통증을 예방한다. 
	 - 하체의 혈액순환을 원활하게 한다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140806363_13XT7KT72.jpg/YOGA_052_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,
,,,,,,
상체 일으키기,상체 일으키기 자세는 흔히 알고 있는 윗몸 일으키기의 한 형태로 복부를 단련하여 날씬하게 만들어주며 동시에 척추의 유연성을 키워준다.,"- 복부를 단련해준다. 
	 - 척추의 유연성을 증가시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141111133_K9JUWUO0K.jpg/YOGA_075_pic_1.jpg?type=w224_1&wm=N,상급,누운 자세,복부
,,,,,,
양무릎 굽혀 허리 비틀기,양무릎 굽혀 허리 비틀기는 요통이 있는 분들에게 좋은 동작일 뿐만 아니라 허리선을 날씬하게 만들어주어 다이어트에도 효과적이다.,"- 요통을 예방한다. 
	 - 허릿살과 뱃살을 자극한다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141143378_HO5X6WCKI.jpg/YOGA_090_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,허리
,,,,,,
허리 비틀기,"허리 비틀기 자세는 탄력 있고 건강한 허리를 만드는 동작으로, 어깨와 허리를 비틀어 주어 복부 내장기관을 자극시키며 혈액순환도 원활히 해준다.","- 어깨와 가슴의 근육을 탄력 있고 유연하게 만든다. 
	 - 허리와 아랫배의 지방을 제거하는 효과가 있다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140955881_M6QP5S7LP.jpg/YOGA_048_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,허리
,,,,,,
선 호흡법,선 호흡법은 온몸을 풀어주는 자세로 핫요가의 첫 동작으로 자주 쓰인다. 호흡을 통해 온몸의 체온을 올려주어 운동 전 부상을 방지해준다.,"- 폐활량을 늘린다. 
	 - 혈액에 산소를 공급한다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141046673_6FHXXH2ZJ.jpg/YOGA_069_pic_1.jpg?type=w224_1&wm=N,초급,호흡,
,,,,,,
두 다리 펴 허리 비틀기,두 다리 펴 허리 비틀기는 하루 종일 서 있거나 앉아 있는 바쁜 현대인을 위한 동작으로 스트레스 받은 척추와 허리를 교정해준다.,"- 척추를 교정한다. 
	 - 요통을 예방한다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141149902_DNYL4K4E3.jpg/YOGA_093_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,
,,,,,,
서서 무릎에 머리 대기,서서 무릎에 머리 대기는 상체 기울이기 자세를 서서 실시한다고 보면 된다. 앉아서 할 때보다 집중력과 균형 감각을 더 필요로 한다.,"- 무릎관절과 다리의 근력을 강화시킨다. 
	 - 균형 감각, 집중력, 인내력을 향상시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141055254_296MBV9QL.jpg/YOGA_070_pic_1.jpg?type=w224_1&wm=N,상급,선 자세,다리
,,,,,,
완전한 메뚜기 자세,완전한 메뚜기 자세는 허리와 골반과 등을 주로 자극하는 자세로 디스크와 등의 통증을 완화시키는 데 도움이 된다.,"- 척추의 유연성과 근력을 강화한다. 
	 - 복부를 단련시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141112733_91LHA44HE.jpg/YOGA_076_pic_1.jpg?type=w224_1&wm=N,상급,누운 자세,엉덩이
,,,,,,
